label,raw_text,text
spam,"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info","SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info"
spam,"URGENT! You have won a 1 week FREE membership in our £100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18","URGENT! You have won a 1 week FREE membership in our £100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C LCCLTD POBOX 4403LDNW1A7RW18"
ham,I've been searching for the right words to thank you for this breather. I promise i wont take your help for granted and will fulfil my promise. You have been wonderful and a blessing at all times.,I have been searching for the right words to thank you for this breather. I promise i will not take your help for granted and will fulfil my promise. You have been wonderful and a blessing at all times.
ham,I HAVE A DATE ON SUNDAY WITH WILL!!,I HAVE A DATE ON SUNDAY WITH WILL!!
spam,"XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL","XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> xxxmobilemovieclub.com?n=QJKGIGHJJGCBL"
ham,Oh k...i'm watching here:),Oh k...i am watching here:)
ham,Eh u remember how 2 spell his name... Yes i did. He v naughty make until i v wet.,Eh you remember how 2 spell his name... Yes i did. He v naughty make until i v wet.
ham,Fine if thats the way u feel. Thats the way its gota b,Fine if thats the way you feel. Thats the way its gota b
spam,"England v Macedonia - dont miss the goals/team news. Txt ur national team to 87077 eg ENGLAND to 87077 Try:WALES, SCOTLAND 4txt/ú1.20 POBOXox36504W45WQ 16+","England v Macedonia - do not miss the goals/team news. Txt you are national team to 87077 eg ENGLAND to 87077 Try:WALES, SCOTLAND 4txt/ú1.20 POBOXox36504W45WQ 16+"
ham,Is that seriously how you spell his name?,Is that seriously how you spell his name?
ham,I‘m going to try for 2 months ha ha only joking,I‘m going to try for 2 months ha ha only joking
ham,So ü pay first lar... Then when is da stock comin...,So ü pay first lar... Then when is da stock comin...
ham,Aft i finish my lunch then i go str down lor. Ard 3 smth lor. U finish ur lunch already?,Aft i finish my lunch then i go str down lor. Ard 3 smth lor. YOU finish you are lunch already?
ham,Ffffffffff. Alright no way I can meet up with you sooner?,Ffffffffff. Alright no way I can meet up with you sooner?
ham,Just forced myself to eat a slice. I'm really not hungry tho. This sucks. Mark is getting worried. He knows I'm sick when I turn down pizza. Lol,Just forced myself to eat a slice. I am really not hungry though. This sucks. Mark is getting worried. He knows I am sick when I turn down pizza. Lol
ham,Lol your always so convincing.,Lol your always so convincing.
ham,Did you catch the bus ? Are you frying an egg ? Did you make a tea? Are you eating your mom's left over dinner ? Do you feel my Love ?,Did you catch the bus ? Are you frying an egg ? Did you make a tea? Are you eating your mom's left over dinner ? Do you feel my Love ?
ham,"I'm back &amp; we're packing the car now, I'll let you know if there's room","I am back & we are packing the car now, I will let you know if there is room"
ham,Ahhh. Work. I vaguely remember that! What does it feel like? Lol,Ahhh. Work. I vaguely remember that! What does it feel like? Lol
ham,"Wait that's still not all that clear, were you not sure about me being sarcastic or that that's why x doesn't want to live with us","Wait that is still not all that clear, were you not sure about me being sarcastic or that that is why x does not want to live with us"
ham,Yeah he got in at 2 and was v apologetic. n had fallen out and she was actin like spoilt child and he got caught up in that. Till 2! But we won't go there! Not doing too badly cheers. You? ,Yeah he got in at 2 and was v apologetic. n had fallen out and she was actin like spoilt child and he got caught up in that. Till 2! But we will not go there! Not doing too badly cheers. You?
ham,K tell me anything about you.,K tell me anything about you.
ham,For fear of fainting with the of all that housework you just did? Quick have a cuppa,For fear of fainting with the of all that housework you just did? Quick have a cuppa
spam,Thanks for your subscription to Ringtone UK your mobile will be charged £5/month Please confirm by replying YES or NO. If you reply NO you will not be charged,Thanks for your subscription to Ringtone UK your mobile will be charged £5/month Please confirm by replying YES or NO. If you reply NO you will not be charged
ham,Yup... Ok i go home look at the timings then i msg ü again... Xuhui going to learn on 2nd may too but her lesson is at 8am,Yup... Ok i go home look at the timings then i message ü again... Xuhui going to learn on 2nd may too but her lesson is at 8am
ham,"Oops, I'll let you know when my roommate's done","Oops, I will let you know when my roommate's done"
ham,I see the letter B on my car,I see the letter B on my car
ham,Anything lor... U decide...,Anything lor... YOU decide...
ham,Hello! How's you and how did saturday go? I was just texting to see if you'd decided to do anything tomo. Not that i'm trying to invite myself or anything!,Hello! How is you and how did saturday go? I was just texting to see if you would decided to do anything tomo. Not that i am trying to invite myself or anything!
ham,Pls go ahead with watts. I just wanted to be sure. Do have a great weekend. Abiola,Pls go ahead with watts. I just wanted to be sure. Do have a great weekend. Abiola
ham,"Did I forget to tell you ? I want you , I need you, I crave you ... But most of all ... I love you my sweet Arabian steed ... Mmmmmm ... Yummy","Did I forget to tell you ? I want you , I need you, I crave you ... But most of all ... I love you my sweet Arabian steed ... Mmmmmm ... Yummy"
spam,07732584351 - Rodger Burns - MSG = We tried to call you re your reply to our sms for a free nokia mobile + free camcorder. Please call now 08000930705 for delivery tomorrow,07732584351 - Rodger Burns - MESSAGE = We tried to call you re your reply to our sms for a free nokia mobile + free camcorder. Please call now 08000930705 for delivery tomorrow
ham,WHO ARE YOU SEEING?,WHO ARE YOU SEEING?
ham,Great! I hope you like your man well endowed. I am  &lt;#&gt;  inches...,Great! I hope you like your man well endowed. I am <#> inches...
ham,No calls..messages..missed calls,No calls..messages..missed calls
ham,Didn't you get hep b immunisation in nigeria.,Did not you get hep b immunisation in nigeria.
ham,"Fair enough, anything going on?","Fair enough, anything going on?"
ham,"Yeah hopefully, if tyler can't do it I could maybe ask around a bit","Yeah hopefully, if tyler cannot do it I could maybe ask around a bit"
ham,U don't know how stubborn I am. I didn't even want to go to the hospital. I kept telling Mark I'm not a weak sucker. Hospitals are for weak suckers.,YOU do not know how stubborn I am. I did not even want to go to the hospital. I kept telling Mark I am not a weak sucker. Hospitals are for weak suckers.
ham,What you thinked about me. First time you saw me in class.,What you thinked about me. First time you saw me in class.
ham,"A gram usually runs like  &lt;#&gt; , a half eighth is smarter though and gets you almost a whole second gram for  &lt;#&gt;","A gram usually runs like <#> , a half eighth is smarter though and gets you almost a whole second gram for <#>"
ham,K fyi x has a ride early tomorrow morning but he's crashing at our place tonight,K fyi x has a ride early tomorrow morning but he is crashing at our place tonight
ham,"Wow. I never realized that you were so embarassed by your accomodations. I thought you liked it, since i was doing the best i could and you always seemed so happy about ""the cave"". I'm sorry I didn't and don't have more to give. I'm sorry i offered. I'm sorry your room was so embarassing.","Wow. I never realized that you were so embarassed by your accomodations. I thought you liked it, since i was doing the best i could and you always seemed so happy about ""the cave"". I am sorry I did not and do not have more to give. I am sorry i offered. I am sorry your room was so embarassing."
spam,SMS. ac Sptv: The New Jersey Devils and the Detroit Red Wings play Ice Hockey. Correct or Incorrect? End? Reply END SPTV,SMS. ac Sptv: The New Jersey Devils and the Detroit Red Wings play Ice Hockey. Correct or Incorrect? End? Reply END SPTV
ham,Do you know what Mallika Sherawat did yesterday? Find out now @  &lt;URL&gt;,Do you know what Mallika Sherawat did yesterday? Find out now @ <URL>
spam,"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out! ","Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Do Not miss out!"
ham,"Sorry, I'll call later in meeting.","Sorry, I will call later in meeting."
ham,Tell where you reached,Tell where you reached
ham,Yes..gauti and sehwag out of odi series.,Yes..gauti and sehwag out of odi series.
ham,Your gonna have to pick up a $1 burger for yourself on your way home. I can't even move. Pain is killing me.,Your going to have to pick up a $1 burger for yourself on your way home. I cannot even move. Pain is killing me.
ham,Ha ha ha good joke. Girls are situation seekers.,Ha ha ha good joke. Girls are situation seekers.
ham,Its a part of checking IQ,Its a part of checking IQ
ham,"Sorry my roommates took forever, it ok if I come by now?","Sorry my roommates took forever, it ok if I come by now?"
ham,Ok lar i double check wif da hair dresser already he said wun cut v short. He said will cut until i look nice.,Ok lar i double check wif da hair dresser already he said wun cut v short. He said will cut until i look nice.
spam,"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a £1500 Bonus Prize, call 09066364589","As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a £1500 Bonus Prize, call 09066364589"
ham,"Today is ""song dedicated day.."" Which song will u dedicate for me? Send this to all ur valuable frnds but first rply me...","Today is ""song dedicated day.."" Which song will you dedicate for me? Send this to all you are valuable frnds but first rply me..."
spam,"Urgent UR awarded a complimentary trip to EuroDisinc Trav, Aco&Entry41 Or £1000. To claim txt DIS to 87121 18+6*£1.50(moreFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ","Urgent YOU ARE awarded a complimentary trip to EuroDisinc Trav, Aco&Entry41 Or £1000. To claim txt DIS to 87121 18+6*£1.50(moreFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ"
spam,"Did you hear about the new ""Divorce Barbie""? It comes with all of Ken's stuff!","Did you hear about the new ""Divorce Barbie""? It comes with all of Ken's stuff!"
ham,I plane to give on this month end.,I plane to give on this month end.
ham,Wah lucky man... Then can save money... Hee...,Wah lucky man... Then can save money... Hee...
ham,Finished class where are you.,Finished class where are you.
ham,HI BABE IM AT HOME NOW WANNA DO SOMETHING? XX,HI BABE I AM AT HOME NOW WANT TO DO SOMETHING? XX
ham,K..k:)where are you?how did you performed?,K..k:)where are you?how did you performed?
ham,U can call me now...,YOU can call me now...
ham,I am waiting machan. Call me once you free.,I am waiting machan. Call me once you free.
ham,Thats cool. i am a gentleman and will treat you with dignity and respect.,That Is cool. i am a gentleman and will treat you with dignity and respect.
ham,I like you peoples very much:) but am very shy pa.,I like you peoples very much:) but am very shy pa.
ham,Does not operate after  &lt;#&gt;  or what,Does not operate after <#> or what
ham,Its not the same here. Still looking for a job. How much do Ta's earn there.,Its not the same here. Still looking for a job. How much do Ta's earn there.
ham,"Sorry, I'll call later","Sorry, I will call later"
ham,K. Did you call me just now ah? ,K. Did you call me just now ah?
ham,Ok i am on the way to home hi hi,Ok i am on the way to home hi hi
ham,You will be in the place of that man,You will be in the place of that man
ham,Yup next stop.,Yup next stop.
ham,"I call you later, don't have network. If urgnt, sms me.","I call you later, do not have network. If urgnt, sms me."
ham,For real when u getting on yo? I only need 2 more tickets and one more jacket and I'm done. I already used all my multis.,For real when you getting on yo? I only need 2 more tickets and one more jacket and I am done. I already used all my multis.
ham,Yes I started to send requests to make it but pain came back so I'm back in bed. Double coins at the factory too. I gotta cash in all my nitros.,Yes I started to send requests to make it but pain came back so I am back in bed. Double coins at the factory too. I got to cash in all my nitros.
ham,I'm really not up to it still tonight babe,I am really not up to it still tonight babe
ham,"Ela kano.,il download, come wen ur free..","Ela kano.,il download, come wen you are free.."
ham,Yeah do! Don‘t stand to close tho- you‘ll catch something!,Yeah do! Don‘t stand to close though- you‘ll catch something!
ham,Sorry to be a pain. Is it ok if we meet another night? I spent late afternoon in casualty and that means i haven't done any of y stuff42moro and that includes all my time sheets and that. Sorry. ,Sorry to be a pain. Is it ok if we meet another night? I spent late afternoon in casualty and that means i have not done any of y stuff42moro and that includes all my time sheets and that. Sorry.
ham,Smile in Pleasure Smile in Pain Smile when trouble pours like Rain Smile when sum1 Hurts U Smile becoz SOMEONE still Loves to see u Smiling!!,Smile in Pleasure Smile in Pain Smile when trouble pours like Rain Smile when sum1 Hurts YOU Smile becoz SOMEONE still Loves to see you Smiling!!
spam,Please call our customer service representative on 0800 169 6031 between 10am-9pm as you have WON a guaranteed £1000 cash or £5000 prize!,Please call our customer service representative on 0800 169 6031 between 10am-9pm as you have WON a guaranteed £1000 cash or £5000 prize!
ham,Havent planning to buy later. I check already lido only got 530 show in e afternoon. U finish work already?,Have Not planning to buy later. I check already lido only got 530 show in e afternoon. YOU finish work already?
spam,"Your free ringtone is waiting to be collected. Simply text the password ""MIX"" to 85069 to verify. Get Usher and Britney. FML, PO Box 5249, MK17 92H. 450Ppw 16","Your free ringtone is waiting to be collected. Simply text the password ""MIX"" to 85069 to verify. Get Usher and Britney. FML, PO Box 5249, MK17 92H. 450Ppw 16"
ham,Watching telugu movie..wat abt u?,Watching telugu movie..wat about you?
ham,i see. When we finish we have loads of loans to pay,i see. When we finish we have loads of loans to pay
ham,"Hi. Wk been ok - on hols now! Yes on for a bit of a run. Forgot that i have hairdressers appointment at four so need to get home n shower beforehand. Does that cause prob for u?""","Hi. Wk been ok - on hols now! Yes on for a bit of a run. Forgot that i have hairdressers appointment at four so need to get home n shower beforehand. Does that because prob for you?"""
ham,I see a cup of coffee animation,I see a cup of coffee animation
ham,Please don't text me anymore. I have nothing else to say.,Please do not text me anymore. I have nothing else to say.
ham,Okay name ur price as long as its legal! Wen can I pick them up? Y u ave x ams xx,Okay name you are price as long as its legal! Wen can I pick them up? Y you ave x ams xx
ham,I'm still looking for a car to buy. And have not gone 4the driving test yet.,I am still looking for a car to buy. And have not gone 4the driving test yet.
ham,"wow. You're right! I didn't mean to do that. I guess once i gave up on boston men and changed my search location to nyc, something changed. Cuz on my signin page it still says boston.","wow. You are right! I did not mean to do that. I guess once i gave up on boston men and changed my search location to nyc, something changed. Cuz on my signin page it still says boston."
ham,Umma my life and vava umma love you lot dear,Umma my life and vava umma love you lot dear
ham,Thanks a lot for your wishes on my birthday. Thanks you for making my birthday truly memorable.,Thanks a lot for your wishes on my birthday. Thanks you for making my birthday truly memorable.
ham,"Aight, I'll hit you up when I get some cash","Aight, I will hit you up when I get some cash"
ham,How would my ip address test that considering my computer isn't a minecraft server,How would my ip address test that considering my computer is not a minecraft server
ham,I know! Grumpy old people. My mom was like you better not be lying. Then again I am always the one to play jokes...,I know! Grumpy old people. My mom was like you better not be lying. Then again I am always the one to play jokes...
ham,Dont worry. I guess he's busy.,Do Not worry. I guess he is busy.
ham,What is the plural of the noun research?,What is the plural of the noun research?
ham,Going for dinner.msg you after.,Going for dinner.message you after.
ham,I'm ok wif it cos i like 2 try new things. But i scared u dun like mah. Cos u said not too loud.,I am ok wif it cos i like 2 try new things. But i scared you dun like mah. Cos you said not too loud.
spam,GENT! We are trying to contact you. Last weekends draw shows that you won a £1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm,GENT! We are trying to contact you. Last weekends draw shows that you won a £1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm
ham,"Wa, ur openin sentence very formal... Anyway, i'm fine too, juz tt i'm eatin too much n puttin on weight...Haha... So anythin special happened?","Wa, you are openin sentence very formal... Anyway, i am fine too, juz tt i am eatin too much n puttin on weight...Haha... So anythin special happened?"
ham,"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there.","As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there."
spam,You are a winner U have been specially selected 2 receive £1000 or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810910p/min (18+) ,You are a winner YOU have been specially selected 2 receive £1000 or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810910p/min (18+)
ham,Goodo! Yes we must speak friday - egg-potato ratio for tortilla needed! ,Goodo! Yes we must speak friday - egg-potato ratio for tortilla needed!
ham,Hmm...my uncle just informed me that he's paying the school directly. So pls buy food.,Hmm...my uncle just informed me that he is paying the school directly. So pls buy food.
spam,PRIVATE! Your 2004 Account Statement for 07742676969 shows 786 unredeemed Bonus Points. To claim call 08719180248 Identifier Code: 45239 Expires,PRIVATE! Your 2004 Account Statement for 07742676969 shows 786 unredeemed Bonus Points. To claim call 08719180248 Identifier Code: 45239 Expires
spam,"URGENT! Your Mobile No. was awarded £2000 Bonus Caller Prize on 5/9/03 This is our final try to contact U! Call from Landline 09064019788 BOX42WR29C, 150PPM","URGENT! Your Mobile No. was awarded £2000 Bonus Caller Prize on 5/9/03 This is our final try to contact YOU! Call from Landline 09064019788 BOX42WR29C, 150PPM"
ham,here is my new address -apples&pairs&all that malarky,here is my new address -apples&pairs&all that malarky
spam,Todays Voda numbers ending 7548 are selected to receive a $350 award. If you have a match please call 08712300220 quoting claim code 4041 standard rates app,Todays Voda numbers ending 7548 are selected to receive a $350 award. If you have a match please call 08712300220 quoting claim code 4041 standard rates app
ham,I am going to sao mu today. Will be done only at 12 ,I am going to sao mu today. Will be done only at 12
ham,Ü predict wat time ü'll finish buying?,Ü predict wat time ü will finish buying?
ham,"Good stuff, will do.","Good stuff, will do."
ham,"Just so that you know,yetunde hasn't sent money yet. I just sent her a text not to bother sending. So its over, you dont have to involve yourself in anything. I shouldn't have imposed anything on you in the first place so for that, i apologise.","Just so that you know,yetunde has not sent money yet. I just sent her a text not to bother sending. So its over, you do not have to involve yourself in anything. I should not have imposed anything on you in the first place so for that, i apologise."
ham,Are you there in room.,Are you there in room.
ham,HEY GIRL. HOW R U? HOPE U R WELL ME AN DEL R BAK! AGAIN LONG TIME NO C! GIVE ME A CALL SUM TIME FROM LUCYxx,HEY GIRL. HOW R YOU? HOPE YOU R WELL ME AN DEL R BAK! AGAIN LONG TIME NO C! GIVE ME A CALL SUM TIME FROM LUCYxx
ham,K..k:)how much does it cost?,K..k:)how much does it cost?
ham,I'm home.,I am home.
ham,"Dear, will call Tmorrow.pls accomodate.","Dear, will call Tmorrow.pls accomodate."
ham,First answer my question.,First answer my question.
spam,Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country the Algarve is in? Txt ansr to 82277. £1.50 SP:Tyrone,Sunshine Quiz Wkly Q! Win a top Sony DVD player if you know which country the Algarve is in? Txt ansr to 82277. £1.50 SP:Tyrone
spam,Want 2 get laid tonight? Want real Dogging locations sent direct 2 ur mob? Join the UK's largest Dogging Network bt Txting GRAVEL to 69888! Nt. ec2a. 31p.msg@150p,Want 2 get laid tonight? Want real Dogging locations sent direct 2 you are mob? Join the UK's largest Dogging Network bt Txting GRAVEL to 69888! Nt. ec2a. 31p.message@150p
ham,I only haf msn. It's yijue@hotmail.com,I only haf msn. It is yijue@hotmail.com
ham,He is there. You call and meet him,He is there. You call and meet him
ham,No no. I will check all rooms befor activities,No no. I will check all rooms befor activities
spam,You'll not rcv any more msgs from the chat svc. For FREE Hardcore services text GO to: 69988 If u get nothing u must Age Verify with yr network & try again,You will not rcv any more msgs from the chat svc. For FREE Hardcore services text GO to: 69988 If you get nothing you must Age Verify with yr network & try again
ham,Got c... I lazy to type... I forgot ü in lect... I saw a pouch but like not v nice...,Got c... I lazy to type... I forgot ü in lect... I saw a pouch but like not v nice...
ham,"K, text me when you're on the way","K, text me when you are on the way"
ham,"Sir, Waiting for your mail.","Sir, Waiting for your mail."
ham,"A swt thought: ""Nver get tired of doing little things 4 lovable persons.."" Coz..somtimes those little things occupy d biggest part in their Hearts.. Gud ni8","A swt thought: ""Nver get tired of doing little things 4 lovable persons.."" Coz..somtimes those little things occupy d biggest part in their Hearts.. Gud ni8"
ham,I know you are. Can you pls open the back?,I know you are. Can you pls open the back?
ham,Yes see ya not on the dot,Yes see ya not on the dot
ham,Whats the staff name who is taking class for us?,What Is the staff name who is taking class for us?
spam,"FreeMsg Why haven't you replied to my text? I'm Randy, sexy, female and live local. Luv to hear from u. Netcollex Ltd 08700621170150p per msg reply Stop to end","FreeMsg Why have not you replied to my text? I am Randy, sexy, female and live local. Love to hear from you. Netcollex Ltd 08700621170150p per message reply Stop to end"
ham,Ummma.will call after check in.our life will begin from qatar so pls pray very hard.,Ummma.will call after check in.our life will begin from qatar so pls pray very hard.
ham,K..i deleted my contact that why?,K..i deleted my contact that why?
ham,Sindu got job in birla soft ..,Sindu got job in birla soft ..
ham,The wine is flowing and i'm i have nevering..,The wine is flowing and i am i have nevering..
ham,Yup i thk cine is better cos no need 2 go down 2 plaza mah.,Yup i thk cine is better cos no need 2 go down 2 plaza mah.
ham,Ok... Ur typical reply...,Ok... You Are typical reply...
ham,"You are everywhere dirt, on the floor, the windows, even on my shirt. And sometimes when i open my mouth, you are all that comes flowing out. I dream of my world without you, then half my chores are out too. A time of joy for me, lots of tv shows i.ll see. But i guess like all things you just must exist, like rain, hail and mist, and when my time here is done, you and i become one.","You are everywhere dirt, on the floor, the windows, even on my shirt. And sometimes when i open my mouth, you are all that comes flowing out. I dream of my world without you, then half my chores are out too. A time of joy for me, lots of tv shows i.ll see. But i guess like all things you just must exist, like rain, hail and mist, and when my time here is done, you and i become one."
ham,Aaooooright are you at work?,Aaooooright are you at work?
ham,I'm leaving my house now...,I am leaving my house now...
ham,"Hello, my love. What are you doing? Did you get to that interview today? Are you you happy? Are you being a good boy? Do you think of me?Are you missing me ?","Hello, my love. What are you doing? Did you get to that interview today? Are you you happy? Are you being a good boy? Do you think of me?Are you missing me ?"
spam,Customer service annoncement. You have a New Years delivery waiting for you. Please call 07046744435 now to arrange delivery,Customer service annoncement. You have a New Years delivery waiting for you. Please call 07046744435 now to arrange delivery
spam,You are a winner U have been specially selected 2 receive £1000 cash or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810810,You are a winner YOU have been specially selected 2 receive £1000 cash or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810810
ham,Keep yourself safe for me because I need you and I miss you already and I envy everyone that see's you in real life,Keep yourself safe for me because I need you and I miss you already and I envy everyone that see's you in real life
ham,New car and house for my parents.:)i have only new job in hand:),New car and house for my parents.:)i have only new job in hand:)
ham,I'm so in love with you. I'm excited each day i spend with you. You make me so happy.,I am so in love with you. I am excited each day i spend with you. You make me so happy.
spam,-PLS STOP bootydelious (32/F) is inviting you to be her friend. Reply YES-434 or NO-434 See her: www.SMS.ac/u/bootydelious STOP? Send STOP FRND to 62468,-PLS STOP bootydelious (32/F) is inviting you to be her friend. Reply YES-434 or NO-434 See her: STOP? Send STOP FRND to 62468
spam,"BangBabes Ur order is on the way. U SHOULD receive a Service Msg 2 download UR content. If U do not, GoTo wap. bangb. tv on UR mobile internet/service menu","BangBabes You Are order is on the way. YOU SHOULD receive a Service Message 2 download YOU ARE content. If YOU do not, GoTo wap. bangb. tv on YOU ARE mobile internet/service menu"
ham,I place all ur points on e cultures module already.,I place all you are points on e cultures module already.
spam,URGENT! We are trying to contact you. Last weekends draw shows that you have won a £900 prize GUARANTEED. Call 09061701939. Claim code S89. Valid 12hrs only,URGENT! We are trying to contact you. Last weekends draw shows that you have won a £900 prize GUARANTEED. Call 09061701939. Claim code S89. Valid 12hrs only
ham,"Hi frnd, which is best way to avoid missunderstding wit our beloved one's?","Hi frnd, which is best way to avoid missunderstding wit our beloved one's?"
ham,Great escape. I fancy the bridge but needs her lager. See you tomo ,Great escape. I fancy the bridge but needs her lager. See you tomo
ham,Yes :)it completely in out of form:)clark also utter waste.,Yes :)it completely in out of form:)clark also utter waste.
ham,"Sir, I need AXIS BANK account no and bank address.","Sir, I need AXIS BANK account no and bank address."
ham,"Hmmm.. Thk sure got time to hop ard... Ya, can go 4 free abt... Muz call u to discuss liao... ","Hmmm.. Thk sure got time to hop ard... Ya, can go 4 free about... Muz call you to discuss liao..."
ham,What time you coming down later? ,What time you coming down later?
ham,"Bloody hell, cant believe you forgot my surname Mr . Ill give u a clue, its spanish and begins with m... ","Bloody hell, cannot believe you forgot my surname Mr . Ill give you a clue, its spanish and begins with m..."
ham,"Well, i'm gonna finish my bath now. Have a good...fine night.","Well, i am going to finish my bath now. Have a good...fine night."
ham,Let me know when you've got the money so carlos can make the call,Let me know when you have got the money so carlos can make the call
ham,U still going to the mall?,YOU still going to the mall?
ham,"Turns out my friends are staying for the whole show and won't be back til ~ &lt;#&gt; , so feel free to go ahead and smoke that $ &lt;#&gt;  worth","Turns out my friends are staying for the whole show and will not be back til ~ <#> , so feel free to go ahead and smoke that $ <#> worth"
ham,Text her. If she doesnt reply let me know so i can have her log in,Text her. If she does not reply let me know so i can have her log in
ham,Hi! You just spoke to MANEESHA V. We'd like to know if you were satisfied with the experience. Reply Toll Free with Yes or No.,Hi! You just spoke to MANEESHA V. We would like to know if you were satisfied with the experience. Reply Toll Free with Yes or No.
ham,You lifted my hopes with the offer of money. I am in need. Especially when the end of the month approaches and it hurts my studying. Anyways have a gr8 weekend,You lifted my hopes with the offer of money. I am in need. Especially when the end of the month approaches and it hurts my studying. Anyways have a gr8 weekend
ham,Lol no. U can trust me.,Lol no. YOU can trust me.
ham,ok. I am a gentleman and will treat you with dignity and respect.,ok. I am a gentleman and will treat you with dignity and respect.
ham,"He will, you guys close?","He will, you guys close?"
ham,Going on nothing great.bye,Going on nothing great.bye
ham,Hello handsome ! Are you finding that job ? Not being lazy ? Working towards getting back that net for mummy ? Where's my boytoy now ? Does he miss me ?,Hello handsome ! Are you finding that job ? Not being lazy ? Working towards getting back that net for mummy ? Where is my boytoy now ? Does he miss me ?
ham,"Haha awesome, be there in a minute","Haha awesome, be there in a minute"
spam,Please call our customer service representative on FREEPHONE 0808 145 4742 between 9am-11pm as you have WON a guaranteed £1000 cash or £5000 prize!,Please call our customer service representative on FREEPHONE 0808 145 4742 between 9am-11pm as you have WON a guaranteed £1000 cash or £5000 prize!
ham,Have you got Xmas radio times. If not i will get it now,Have you got Xmas radio times. If not i will get it now
ham,I jus reached home. I go bathe first. But my sis using net tell u when she finishes k...,I jus reached home. I go bathe first. But my sis using net tell you when she finishes k...
spam,Are you unique enough? Find out from 30th August. www.areyouunique.co.uk,Are you unique enough? Find out from 30th August.
